timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735550568323,6,login,200,OK,Thread Group 2 1-14,text,true,,226,233,6,6,http://localhost:5000/login,6,0,2
1735550568415,5,homepage,200,OK,Thread Group 2 1-15,text,true,,209,148,7,7,http://localhost:5000/,5,0,1
1735550568421,4,login,200,OK,Thread Group 2 1-15,text,true,,226,233,7,7,http://localhost:5000/login,3,0,0
1735550568515,12,homepage,200,OK,Thread Group 2 1-16,text,true,,209,148,8,8,http://localhost:5000/,11,0,1
1735550568527,4,login,200,OK,Thread Group 2 1-16,text,true,,226,233,8,8,http://localhost:5000/login,4,0,1
1735550567929,645,add users,201,CREATED,Thread Group 2 1-10,text,true,,212,247,8,8,http://localhost:5000/add_user,645,0,1
1735550568618,5,homepage,200,OK,Thread Group 2 1-17,text,true,,209,148,8,8,http://localhost:5000/,4,0,1
1735550568623,5,login,200,OK,Thread Group 2 1-17,text,true,,226,233,8,8,http://localhost:5000/login,5,0,1
1735550568717,6,homepage,200,OK,Thread Group 2 1-18,text,true,,209,148,9,9,http://localhost:5000/,6,0,4
1735550568029,698,add users,201,CREATED,Thread Group 2 1-11,text,true,,212,244,9,9,http://localhost:5000/add_user,698,0,3
1735550568724,6,login,200,OK,Thread Group 2 1-18,text,true,,226,233,8,8,http://localhost:5000/login,6,0,1
1735550568817,2,homepage,200,OK,Thread Group 2 1-19,text,true,,209,148,9,9,http://localhost:5000/,2,0,1
1735550568820,6,login,200,OK,Thread Group 2 1-19,text,true,,226,233,9,9,http://localhost:5000/login,6,0,1
1735550568124,755,add users,201,CREATED,Thread Group 2 1-12,text,true,,212,249,9,9,http://localhost:5000/add_user,755,0,0
1735550568917,5,homepage,200,OK,Thread Group 2 1-20,text,true,,209,148,9,9,http://localhost:5000/,5,0,2
1735550568923,4,login,200,OK,Thread Group 2 1-20,text,true,,226,233,9,9,http://localhost:5000/login,3,0,1
1735550568225,789,add users,201,CREATED,Thread Group 2 1-13,text,true,,212,249,9,9,http://localhost:5000/add_user,789,0,0
1735550569017,4,homepage,200,OK,Thread Group 2 1-21,text,true,,209,148,9,9,http://localhost:5000/,3,0,1
1735550569021,5,login,200,OK,Thread Group 2 1-21,text,true,,226,233,9,9,http://localhost:5000/login,5,0,1
1735550569117,7,homepage,200,OK,Thread Group 2 1-22,text,true,,209,148,10,10,http://localhost:5000/,7,0,2
1735550569126,7,login,200,OK,Thread Group 2 1-22,text,true,,226,233,10,10,http://localhost:5000/login,6,0,2
1735550568330,829,add users,201,CREATED,Thread Group 2 1-14,text,true,,212,245,10,10,http://localhost:5000/add_user,829,0,1
1735550569216,5,homepage,200,OK,Thread Group 2 1-23,text,true,,209,148,10,10,http://localhost:5000/,5,0,2
1735550569221,5,login,200,OK,Thread Group 2 1-23,text,true,,226,233,10,10,http://localhost:5000/login,4,0,1
1735550568426,868,add users,201,CREATED,Thread Group 2 1-15,text,true,,212,245,10,10,http://localhost:5000/add_user,868,0,1
1735550569316,6,homepage,200,OK,Thread Group 2 1-24,text,true,,209,148,10,10,http://localhost:5000/,6,0,2
1735550569324,5,login,200,OK,Thread Group 2 1-24,text,true,,226,233,10,10,http://localhost:5000/login,5,0,1
1735550569419,9,homepage,200,OK,Thread Group 2 1-25,text,true,,209,148,11,11,http://localhost:5000/,8,0,1
1735550569428,5,login,200,OK,Thread Group 2 1-25,text,true,,226,233,11,11,http://localhost:5000/login,4,0,1
1735550568533,938,add users,201,CREATED,Thread Group 2 1-16,text,true,,212,247,11,11,http://localhost:5000/add_user,938,0,2
1735550567828,1658,add users,201,CREATED,Thread Group 2 1-9,text,true,,212,246,10,10,http://localhost:5000/add_user,1657,0,1
1735550569517,4,homepage,200,OK,Thread Group 2 1-26,text,true,,209,148,10,10,http://localhost:5000/,3,0,1
1735550569521,5,login,200,OK,Thread Group 2 1-26,text,true,,226,233,10,10,http://localhost:5000/login,4,0,1
1735550568628,962,add users,201,CREATED,Thread Group 2 1-17,text,true,,212,248,10,10,http://localhost:5000/add_user,962,0,1
1735550569620,5,homepage,200,OK,Thread Group 2 1-27,text,true,,209,148,10,10,http://localhost:5000/,4,0,2
1735550569625,5,login,200,OK,Thread Group 2 1-27,text,true,,226,233,10,10,http://localhost:5000/login,5,0,2
1735550569726,5,homepage,200,OK,Thread Group 2 1-28,text,true,,209,148,11,11,http://localhost:5000/,4,0,1
1735550569731,5,login,200,OK,Thread Group 2 1-28,text,true,,226,233,11,11,http://localhost:5000/login,5,0,2
1735550568731,1088,add users,201,CREATED,Thread Group 2 1-18,text,true,,212,246,12,12,http://localhost:5000/add_user,1088,0,1
1735550569818,4,homepage,200,OK,Thread Group 2 1-29,text,true,,209,148,11,11,http://localhost:5000/,4,0,1
1735550569823,4,login,200,OK,Thread Group 2 1-29,text,true,,226,233,11,11,http://localhost:5000/login,4,0,1
1735550569916,5,homepage,200,OK,Thread Group 2 1-30,text,true,,209,148,12,12,http://localhost:5000/,5,0,0
1735550569922,6,login,200,OK,Thread Group 2 1-30,text,true,,226,233,12,12,http://localhost:5000/login,5,0,1
1735550568827,1125,add users,201,CREATED,Thread Group 2 1-19,text,true,,212,245,12,12,http://localhost:5000/add_user,1125,0,1
1735550568928,1086,add users,201,CREATED,Thread Group 2 1-20,text,true,,212,249,11,11,http://localhost:5000/add_user,1086,0,1
1735550570015,5,homepage,200,OK,Thread Group 2 1-31,text,true,,209,148,11,11,http://localhost:5000/,5,0,1
1735550570021,4,login,200,OK,Thread Group 2 1-31,text,true,,226,233,11,11,http://localhost:5000/login,4,0,1
1735550570117,7,homepage,200,OK,Thread Group 2 1-32,text,true,,209,148,12,12,http://localhost:5000/,7,0,1
1735550570125,4,login,200,OK,Thread Group 2 1-32,text,true,,226,233,12,12,http://localhost:5000/login,3,0,1
1735550569026,1135,add users,201,CREATED,Thread Group 2 1-21,text,true,,212,246,12,12,http://localhost:5000/add_user,1135,0,1
1735550570219,4,homepage,200,OK,Thread Group 2 1-33,text,true,,209,148,12,12,http://localhost:5000/,4,0,1
1735550570224,5,login,200,OK,Thread Group 2 1-33,text,true,,226,233,12,12,http://localhost:5000/login,4,0,1
1735550570318,3,homepage,200,OK,Thread Group 2 1-34,text,true,,209,148,13,13,http://localhost:5000/,3,0,0
1735550570322,4,login,200,OK,Thread Group 2 1-34,text,true,,226,233,13,13,http://localhost:5000/login,4,0,1
1735550569133,1284,add users,201,CREATED,Thread Group 2 1-22,text,true,,212,250,13,13,http://localhost:5000/add_user,1283,0,2
1735550570418,5,homepage,200,OK,Thread Group 2 1-35,text,true,,209,148,13,13,http://localhost:5000/,5,0,1
1735550570425,6,login,200,OK,Thread Group 2 1-35,text,true,,226,233,13,13,http://localhost:5000/login,6,0,2
1735550570518,5,homepage,200,OK,Thread Group 2 1-36,text,true,,209,148,14,14,http://localhost:5000/,5,0,2
1735550570524,3,login,200,OK,Thread Group 2 1-36,text,true,,226,233,14,14,http://localhost:5000/login,3,0,0
1735550569226,1366,add users,201,CREATED,Thread Group 2 1-23,text,true,,212,248,14,14,http://localhost:5000/add_user,1366,0,1
1735550570616,4,homepage,200,OK,Thread Group 2 1-37,text,true,,209,148,14,14,http://localhost:5000/,4,0,1
1735550570621,3,login,200,OK,Thread Group 2 1-37,text,true,,226,233,14,14,http://localhost:5000/login,3,0,1
